track_name,danceability,energy,valence,tempo,loudness,acousticness,instrumentalness,liveness,speechiness
My Time's Comin',0.327,0.835,0.385,171.795,-4.952,0.00192,0.00015,0.167,0.0609
The Magic Of Halloween - Soundtrack Reissue (2002),0.217,0.108,0.0428,76.792,-18.62,0.848,0.244,0.334,0.0345
Rosas Y Espinas,0.632,0.529,0.399,115.013,-4.492,0.0385,0.0,0.11,0.0315
Endz - Original Mix,0.745,0.772,0.17,133.113,-3.949,0.00428,0.114,0.0722,0.0904
Glad to Be Unhappy (feat. John Mayer),0.271,0.154,0.165,78.272,-13.183,0.911,0.0296,0.69,0.0369
How Much Is That Doggy In The Window?,0.787,0.224,0.657,146.054,-9.607,0.715,0.0,0.138,0.0366
Morning Light,0.62,0.497,0.55,155.908,-9.585,0.382,0.0482,0.193,0.119
Chunk Up the Deuce (feat. U.G.K. & Paul Wall),0.929,0.61,0.868,136.081,-6.064,0.0298,0.0,0.0958,0.321
Get Up,0.57,0.715,0.831,148.032,-3.399,0.0709,0.0,0.0745,0.044
"Swan Lake, Op. 20, Act II No. 13, Danses des cygnes: Act II By a Lake: No. 13. Dances of the swans: I. Tempo di valse",0.223,0.0332,0.246,94.016,-28.02,0.896,0.503,0.0886,0.0339
Blues for Stochelo,0.658,0.623,0.656,107.012,-7.861,0.792,0.809,0.151,0.0498
Hannah,0.74,0.448,0.233,139.984,-6.166,0.391,0.00147,0.0924,0.0576
teddy bear,0.543,0.339,0.367,110.981,-8.523,0.938,1.12e-05,0.351,0.0365
Tied Up,0.807,0.594,0.83,130.086,-7.945,0.175,0.0591,0.32,0.0295
La Distancia,0.653,0.955,0.904,116.17,-3.378,0.0692,0.0,0.0461,0.19
Yul Brynner,0.57,0.773,0.318,94.395,-12.502,0.921,0.0,0.76,0.921
Handel: Rodelinda: Ritorna o caro,0.249,0.257,0.115,79.599,-15.19,0.963,0.111,0.12,0.0445
How To Fly,0.676,0.645,0.537,151.058,-9.335,0.159,0.00172,0.106,0.0992
Basic,0.674,0.531,0.17,129.939,-6.941,0.121,0.0,0.197,0.0516
Words (feat. India.Arie),0.561,0.525,0.516,83.414,-8.717,0.122,0.0,0.0976,0.0264
Rise To The Occasion,0.877,0.662,0.465,127.987,-7.621,0.338,0.0,0.101,0.26
Solamente Una Vez,0.346,0.396,0.41,93.233,-12.731,0.799,0.00101,0.266,0.0384
Hallelujah Junction,0.369,0.298,0.499,115.298,-20.784,0.993,0.929,0.176,0.0387
"Kinderszenen, Op. 15: I. Von fremden Ländern und Menschen",0.374,0.00526,0.386,69.813,-35.546,0.996,0.912,0.0735,0.0533
Wonder,0.719,0.739,0.603,115.142,-5.577,0.346,0.0102,0.0581,0.0419
Tactics - Remastered,0.523,0.96,0.675,117.168,-3.532,0.00305,1.4e-06,0.301,0.0701
The Preface,0.608,0.577,0.111,128.872,-6.477,0.0652,5.8e-05,0.132,0.0479
I Knew You Were Trouble,0.56,0.688,0.611,76.997,-4.437,0.00227,0.0,0.0596,0.056
Siente El Fuego,0.605,0.895,0.838,133.931,-4.754,0.00192,2.33e-06,0.242,0.0386
Everything Is Alright,0.435,0.95,0.457,160.987,-3.869,0.000494,0.0,0.317,0.106
Gringo Honeymoon,0.503,0.614,0.493,108.631,-10.875,0.156,8.89e-05,0.604,0.0296
Your Biggest Fan,0.738,0.308,0.531,124.979,-7.242,0.944,0.0,0.131,0.0419
Just Sayin/I Tried,0.489,0.506,0.431,95.528,-10.251,0.427,0.0862,0.12,0.177
"Love, I Thought You Had My Back",0.608,0.74,0.691,73.002,-5.074,0.0474,0.0,0.0352,0.0442
Modern Slavery,0.737,0.737,0.5,134.066,-3.72,0.00158,0.0,0.28,0.238
You Won't See Me,0.701,0.739,0.687,120.004,-6.547,0.0729,0.000333,0.0805,0.0291
Restless,0.737,0.259,0.42,149.106,-18.901,0.506,0.135,0.0893,0.423
Here I Am To Worship - Live,0.367,0.496,0.197,76.069,-9.038,0.0996,0.0,0.676,0.0356
show me,0.474,0.731,0.0876,135.056,-5.582,0.235,0.00536,0.223,0.0406
"Symphony No. 8 in E-Flat Major - ""Symphony of a Thousand"" / Pt. 1: ""Accende lumen sensibus""",0.231,0.525,0.21,132.572,-9.981,0.965,0.725,0.471,0.0404
Let Go Today,0.84,0.193,0.204,99.99,-11.186,0.182,0.0,0.173,0.0696
I'm So Tired,0.303,0.129,0.155,84.167,-15.069,0.89,0.00776,0.123,0.0301
Monster Hunter,0.294,0.652,0.212,76.006,-5.36,0.706,0.823,0.116,0.036
Goodbyes,0.627,0.71,0.461,130.019,-5.076,0.192,0.0,0.131,0.0317
Lohengrin: Prelude to Act 1,0.0942,0.0341,0.0288,84.676,-26.675,0.92,0.953,0.277,0.04
Santa Baby,0.705,0.44,0.453,86.008,-4.452,0.486,0.0,0.113,0.0254
"For the Love of a Princess (From ""Braveheart"")",0.155,0.192,0.0565,104.978,-17.664,0.946,0.883,0.101,0.0398
Guillao (feat. Farruko & Dy),0.681,0.738,0.678,81.002,-6.227,0.449,0.0,0.257,0.0767
Never in My Wildest Dreams,0.559,0.466,0.623,117.21,-6.769,0.315,0.0039,0.0933,0.0362
La chanson de Bambi,0.557,0.247,0.276,109.603,-12.371,0.801,0.0,0.179,0.0308
The Body,0.097,0.0507,0.0265,87.474,-29.849,0.981,0.918,0.111,0.0565
Lighthouse - Andrelli Remix,0.595,0.662,0.417,96.053,-6.858,0.0178,0.0,0.0804,0.0362
Chrome Country,0.378,0.318,0.0382,121.904,-8.58,0.123,0.896,0.0933,0.0351
Cherish,0.42,0.27,0.136,99.823,-14.396,0.777,0.862,0.1,0.0326
Ory's Creole Trombone,0.838,0.492,0.969,110.099,-9.633,0.804,0.845,0.142,0.043
Rat Race - Live At The Roxy,0.676,0.637,0.782,139.223,-6.561,0.376,2.96e-06,0.772,0.184
